Frame Number	Computation Time
2214	85600
2215	74800
2216	78600
2217	174800
2218	84200
2219	72100
2220	83800
2221	181100
2222	75000
2223	70500
2224	73600
2225	79600
2226	67900
2227	74600
2228	386000
2229	1176700
2230	153100
2231	168800
2232	214000
2233	189500
2234	131700
2235	314400
2236	194900
2237	75600
2238	101800
2239	248700
2240	1229600
2241	186300
2242	270700
2243	316000
2244	39823400
2245	240100
2246	85700
2247	75600
2248	179100
2249	82700
2250	105500
2251	77100
2252	248600
2253	77400
2254	72100
2255	95800
2256	84800
2257	77300
2258	73200
2259	109100
2260	81900
2261	71400
2262	74800
2263	205900
2264	83100
2265	75000
2266	70800
2267	72500
2268	95400
2269	80100
2270	76100
2271	74600
2272	130400
2273	82100
2274	83300
2275	249500
2276	84400
2277	77800
2278	130900
2279	90300
2280	80900
2281	79700
2282	75100
2283	214200
2284	102600
2285	75600
2286	71400
2287	83600
2288	82500
2289	78300
2290	191200
2291	135000
2292	89500
2293	83000
2294	89900
2295	267400
2296	8190600
2297	114500
2298	1028100
2299	10193400
2300	95400
2301	166800
2302	317600
2303	94000
2304	155200
2305	110300
2306	100100
2307	173400
2308	138000
2309	109600
2310	95800
2311	193300
2312	102500
2313	136000
2314	122000
2315	139900
2316	290000
2317	10116300
2318	102700
2319	560400
2320	3814300
2321	87000
2322	190000
2323	233400
2324	107800
2325	193300
2326	144200
2327	141100
2328	83000
2329	265900
2330	85800
2331	86500
2332	184800
2333	250600
2334	2901438900
2335	306000
2336	106300
2337	100200
2338	85700
2339	154700
2340	109900
2341	127800
2342	84200
2343	215100
2344	84700
2345	94200
2346	94100
2347	86400
2348	78700
2349	81600
2350	89900
2351	126800
2352	86100
2353	204000
2354	85600
2355	79500
2356	88900
2357	93900
2358	83800
2359	86500
2360	81400
2361	90300
2362	90200
2363	103500
2364	84600
2365	102000
2366	82300
2367	115600
2368	186400
2369	85100
2370	81300
2371	89800
2372	104300
2373	83700
2374	96400
2375	77700
2376	92200
2377	90000
2378	82500
2379	185900
2380	106700
2381	86100
2382	83800
2383	99200
2384	83300
2385	77000
2386	84200
2387	87500
2388	85100
2389	108800
